4543912;"CONECTOR,PARAL;CAA 477;CP36A36A;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543914;CONECTOR,PARAL,CU,2X300MM2,3P,D71026;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543915;CONECTOR,TERM,RETO,2F,CU,6-750,D71017;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543917;CONECTOR,SUPORTE,TUBO AL 2pol,D71006;ESTOQUE;12/03/2019;12/03/2019
4543920;"CONECTOR,CRUZ;CU;6-2AWG;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543922;"CONECTOR,CRUZ;AL;4-1/0AWG;2P;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543926;GRAMPO,SUSP,ARTIC,I.PIL,266-636,D73031.2;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543928;"GRAMPO,SUSP;PREF;I.PIL;CAA477;AGS5218PLP";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543936;"PRESILHA,CABO ACO;1/4POL;D21503;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543941;CONCHA-GARFO,AZ,12000 DAN,51013.2;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543942;"CONCHA-GARFO,AZ;F-1317;FORJASUL/SIMILAR";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543946;"SEC,TAN;F-FUS;15KV;630-200A;ETC03003 FPM";FORA DE PADRÃO;12/03/2019;12/03/2019
4543947;SEC,TAND,FF,15-1250-M-AV-VA,C6,ESE06,D04;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543948;"CHAVE,FUS;15KV;C;300A;10KA;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543949;"CHAVE,FUS;24KV;C;300A;6,3KA;FP BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543951;"CHAVE,FUS;15KV;A;100A;2KA;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543953;SEC,UNIP,25KV,200A,LAMINA DUPLA,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543956;"SEC,TRIP;15KV;400A;USO INTERNO";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543957;"SEC,TAN;F-F;15KV;630A;12,5KA;MOT;0591935";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543959;SEC,TRIP,72.5KV, 800A,M-AL-HB-SLT,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543960;SEC,TRIP,72.5KV, 800A,M-AC-HA-CLT,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543962;"SEC,TRIP;15KV;1250A;HLMA;(0591931)";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543963;"SEC,UNIP;72,5KV;800A;25KA;350KV;LT;ESE04";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543966;"SEC,TRIP;15KV;630A;HLMA;(0591930)";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543967;SEC,TRIP,72.5-1250-M-T-AC-HB,E-SE-004,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543971;SEC,TRIP,72.5KV, 800A,E-AL-HA-SLT,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543977;"CHAVE,AFERICAO;600V;20A;D19301.2";ESTOQUE;12/03/2019;12/03/2019
4543978;"INTERRUPT,HORAR;110/220V;2A;10A;D19401.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543980;CHAVE,MAGNET,IP,220V,2X60A,NF,D60301.2;ESTOQUE;12/03/2019;12/03/2019
4543984;"BRACO,AZ;LUMIN 125W;1800MM;D60803.0;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543985;"BRACO,AL;LUMIN ECON;80W;950MM;PM02;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543987;"BRACO,AL;LUMIN 125W;1780MM;PM02 F16;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543988;SUPORTE,BRACO LUM,AZ,485MM,D43508,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543989;"CHAVE,OLEO;MONOF;15KV;200A;115VCA;ET-125";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543990;"CHAVE,OLEO;MONOF;15KV;200A;220VCA;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543991;"CHAVE,OLEO;TRIP;15KV;400A;B.CAP;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543992;"RELIGADOR,AUT;15KV;280A;6KA;TIPO KF;(FP)";FORA DE PADRÃO;12/03/2019;12/03/2019
4543994;CHAVE,OLEO,TRIP,15KV,400A,VLR,ET124.0;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543995;CAIXA,PROT SEC,ACO, 30-100A,U/P,D19001FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543997;CAIXA,MED,1F,AÇO,300X280X165,UP,ET195,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543998;CAIXA,MED,3F,AÇO,460X340X215,UP,ET195,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543999;CAIXA,MED,3F,AÇO,1200X900X260,NT002,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4544004;CAIXA,MED 3F,AÇO,SEMI-EMBUTIDA,ET195;NÃO-ESTOQUE;12/03/2019;12/03/2019
4544006;"CAIXA,DERIV/PROT;1F;POLI;204X405;199;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
